id;name;description;language;deployment_map_id
1;Buckinghamshire;../fake-data/blob/hipster.txt;HU;1
2;Intelligent Cotton Chicken;../fake-data/blob/hipster.txt;SV;2
3;pricing structure front-end;../fake-data/blob/hipster.txt;EL;3
4;Ameliorated Tactics;../fake-data/blob/hipster.txt;ID;4
5;matrix Infrastructure Handcrafted Granite Chicken;../fake-data/blob/hipster.txt;ES;5
6;hacking Cambridgeshire lavender;../fake-data/blob/hipster.txt;IS;6
7;Nevada;../fake-data/blob/hipster.txt;JA;7
8;transmitting;../fake-data/blob/hipster.txt;ID;8
9;Kids Burg Belize Dollar;../fake-data/blob/hipster.txt;AR;9
10;red Beauty Health;../fake-data/blob/hipster.txt;ZH;10
