id;name;summary;description;keywords;language;stratagem_id
1;systems;Associate Steel;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;ID;1
2;Tasty Wooden Table;models South Dakota Web;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;RU;2
3;Industrial;South Dakota;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;TR;3
4;Internal override;Chips invoice Soft;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;KO;4
5;focus group User-centric Architect;Executive override;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;JA;5
6;solutions JSON;Mouse Applications;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;HU;6
7;Outdoors cross-platform;bluetooth Data aggregate;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;KO;7
8;COM;bypass teal;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;HU;8
9;Borders Phased;alarm Concrete;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;AR;9
10;Games Dynamic Auto Loan Account;Shoes;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt;DA;10
