id;name;excerpt;picture_url;content;language;product_id
1;Investor Beauty Refined Frozen Car;Steel Spurs Illinois;PCI;../fake-data/blob/hipster.txt;TR;1
2;Program Swedish Krona CSS;Architect bandwidth;bricks-and-clicks;../fake-data/blob/hipster.txt;EL;2
3;SAS Bedfordshire;Coordinator;withdrawal;../fake-data/blob/hipster.txt;EL;3
4;generating;moratorium Administrator;bricks-and-clicks Rwanda Computer;../fake-data/blob/hipster.txt;GA;4
5;Configuration Health;local area network Avon Incredible Plastic Salad;Bedfordshire Idaho Avon;../fake-data/blob/hipster.txt;JA;5
6;Buckinghamshire frictionless;Fantastic Steel Chicken clicks-and-mortar Generic Frozen Salad;Bacon withdrawal;../fake-data/blob/hipster.txt;FA;6
7;Generic Soft Chips;Jordan;synthesize program;../fake-data/blob/hipster.txt;EN;7
8;Practical;Croatian Kuna;withdrawal IB Configuration;../fake-data/blob/hipster.txt;SV;8
9;Bolivar Fuerte Senior Rhode Island;Berkshire Money Market Account Pants;Granite utilisation expedite;../fake-data/blob/hipster.txt;FR;9
10;fuchsia Personal Loan Account;digital multi-state Personal Loan Account;Sports Metal overriding;../fake-data/blob/hipster.txt;DE;10
