id;current;major_victories;minor_victories;draws;minor_defeats;major_defeats;requisition;supply_limit;supply_used;objectives;notes
1;true;82449;28292;43019;84407;32874;97767;3325;6411;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
2;false;65521;75925;47886;86011;93642;88899;38588;52329;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
3;true;60655;64815;84019;56384;50588;49354;95938;30721;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
4;true;50529;8775;66073;67963;73491;1924;94095;53580;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
5;true;71013;19451;90788;61028;38620;12199;37115;29549;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
6;true;25928;85504;11415;86238;20690;45287;67103;22347;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
7;false;76739;7545;82049;71041;41037;72815;28579;73169;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
8;true;4438;67705;57547;51904;4995;40402;19677;82202;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
9;false;28876;75392;17606;18233;32526;80785;46763;78723;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
10;false;34899;9858;18984;83598;65810;3230;51078;57420;../fake-data/blob/lorem-ipsum.txt;../fake-data/blob/lorem-ipsum.txt
