id;current;since_instant;points_cost;power_rating;experience_points;crusade_points;equipment;psychic_powers;warlord_traits;relics;other_upgrades;battles_played;battles_survived;ranged_kills;melee_kills;psychic_kills;crusade_rank;battle_honours;battle_scars
1;false;2020-09-08T16:35:09;20831;59490;18484;74759;clicks-and-mortar withdrawal;tan;Cotton Small Wooden Cheese;deposit Crossing;Poland synergistic;37078;46776;28861;8788;65366;LE;Ameliorated Islands;Books
2;false;2020-09-08T08:59:52;99934;40350;13323;93209;user-facing Money Market Account European Unit of Account 17(E.U.A.-17);Kids Accounts;Refined Concrete Chips grey Home;Handcrafted Granite Soap;mindshare IB;93958;48119;43786;54986;33702;BL;calculating;Jersey
3;false;2020-09-08T10:28:11;22311;25281;35483;47362;Nicaragua Practical;withdrawal;Flats override project;plum Personal Loan Account integrated;mint green;47291;98592;42551;15454;90060;BL;COM;Antigua and Barbuda Executive
4;false;2020-09-08T17:12:58;62311;38685;83155;99590;optimizing Integration;functionalities;Borders digital;Cambridgeshire morph needs-based;Rustic Metal Pizza Malagasy Ariary;50671;94647;19356;13579;86675;BH;Frozen;compress global compressing
5;true;2020-09-08T07:38:35;91123;93650;83576;44388;GB;Borders Small;Rubber Iowa;Health;Car;3124;30399;78550;29340;96350;HE;Tactics;back-end plum Strategist
6;true;2020-09-07T23:45:08;62425;68969;40387;5238;JBOD Minnesota;Buckinghamshire;Unbranded Human bypassing;invoice Virginia Product;payment Buckinghamshire Identity;65892;53293;77851;40165;81468;BH;azure California;Strategist Program Poland
7;false;2020-09-08T05:04:55;41631;63832;46159;86282;innovative;action-items;turn-key circuit;deposit;extensible;72957;8140;79095;1364;44266;BL;eco-centric Chicken parse;Cambridgeshire
8;true;2020-09-08T07:20:02;4580;2137;17941;82343;systematic;RSS;Assurance Gorgeous Frozen Salad Garden;Markets quantifying generate;input Awesome Fresh Chips web-enabled;84001;99005;56776;85282;71621;RE;Money Market Account Avon;24/7 Avon redundant
9;false;2020-09-08T06:50:28;38446;85041;51054;393;Cambridgeshire Regional Wisconsin;Chief bypass Agent;Moldova paradigm mission-critical;alarm;paradigm Steel Spring;41723;79997;70358;65337;55443;BH;Handcrafted;Program
10;true;2020-09-08T11:02:01;24699;57077;96934;7885;Buckinghamshire;Analyst Advanced Customer-focused;Rustic teal;cross-platform;Mayotte;30368;24872;88827;89317;71771;BL;Garden bluetooth;Home Loan Account silver
